,id,MID,trial_number,start_date,trialstart,outcome,reaction_time,totalpoints,prop_left,prop_right,resp,revealed_left,revealed_right,AID,HID,noresp,session_id,five_trial_outcome,mag_left,mag_right,received_mag,practice,loss_or_reward,revealed_o_l,revealed_o_r,revealed_x_l,revealed_x_r,instruct_number,info_l,info_r,prob_out_l,prob_out_r,prob_out_l_bayes,prob_out_r_bayes,ambig_l,ambig_r,prob_out_ambig,prob_out_unambig,mag_ambig,mag_unambig,resp_amb_1,prob_out_ambig_bayes,info_amb
0,77666,A27BPRHBM28XZS,0,3/10/17 8:43,1.48914e+12,X,2642,5000,0.16,0.76,left,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,91,36,21,36,False,combined,9,37,41,13,0,1.0,1.0,0.82,0.26,0.82,0.26,0,0,,,,,,,1.0
1,77667,A27BPRHBM28XZS,1,3/10/17 8:43,1.48914e+12,X,2638,5000,0.24,0.36,right,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,91,78,101,101,False,combined,13,17,37,33,0,1.0,1.0,0.74,0.66,0.74,0.66,0,0,,,,,,,1.0
2,77669,A27BPRHBM28XZS,2,3/10/17 8:44,1.48914e+12,O,1518,5000,0.34,0.64,left,1.0,0.8,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,91,21,39,0,False,combined,18,25,32,15,0,1.0,0.8,0.64,0.375,0.64,0.380952380952,0,1,0.375,0.64,39.0,21.0,,0.380952380952,0.8
3,77670,A27BPRHBM28XZS,3,3/10/17 8:44,1.48914e+12,X,1592,5000,0.24,0.08,right,0.1,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,91,3,12,12,False,combined,1,4,4,46,0,0.1,1.0,0.8,0.92,0.714285714286,0.92,1,0,0.8,0.92,3.0,12.0,,0.714285714286,0.1
4,77672,A27BPRHBM28XZS,4,3/10/17 8:44,1.48914e+12,X,1397,5000,0.12,0.62,left,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,91,7,20,7,False,combined,6,31,44,19,0,1.0,1.0,0.88,0.38,0.88,0.38,0,0,,,,,,,1.0
5,77674,A27BPRHBM28XZS,5,3/10/17 8:44,1.48914e+12,O,4854,5101,0.64,0.72,right,1.0,0.06,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,101,-74,-84,0,False,combined,32,1,18,2,0,1.0,0.06,0.36,0.666666666667,0.36,0.6,0,1,0.666666666667,0.36,-84.0,-74.0,,0.6,0.06
6,77675,A27BPRHBM28XZS,6,3/10/17 8:44,1.48914e+12,X,1768,5101,0.56,0.48,right,1.0,0.2,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,101,-68,-29,-29,False,combined,26,8,24,2,0,1.0,0.2,0.48,0.2,0.48,0.25,0,1,0.2,0.48,-29.0,-68.0,,0.25,0.2
7,77677,A27BPRHBM28XZS,7,3/10/17 8:44,1.48914e+12,O,1121,5101,0.28,0.76,right,1.0,0.4,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,101,-7,-21,0,False,combined,13,13,37,7,0,1.0,0.4,0.74,0.35,0.74,0.363636363636,0,1,0.35,0.74,-21.0,-7.0,,0.363636363636,0.4
8,77678,A27BPRHBM28XZS,8,3/10/17 8:44,1.48914e+12,X,2931,5101,0.12,0.4,left,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,101,-17,-50,-17,False,combined,6,21,44,29,0,1.0,1.0,0.88,0.58,0.88,0.58,0,0,,,,,,,1.0
9,77680,A27BPRHBM28XZS,9,3/10/17 8:45,1.48914e+12,X,4975,5101,0.56,0.48,left,1.0,0.02,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,101,-68,-29,-68,False,combined,26,0,24,1,0,1.0,0.02,0.48,1.0,0.48,0.666666666667,0,1,1.0,0.48,-29.0,-68.0,,0.666666666667,0.02
10,77682,A27BPRHBM28XZS,10,3/10/17 8:45,1.48914e+12,X,1551,5033,0.16,0.76,right,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-68,-36,-21,-21,False,combined,9,38,41,12,0,1.0,1.0,0.82,0.24,0.82,0.24,0,0,,,,,,,1.0
11,77683,A27BPRHBM28XZS,11,3/10/17 8:45,1.48914e+12,X,3211,5033,0.24,0.36,left,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-68,-78,-101,-78,False,combined,13,17,37,33,0,1.0,1.0,0.74,0.66,0.74,0.66,0,0,,,,,,,1.0
12,77685,A27BPRHBM28XZS,12,3/10/17 8:45,1.48914e+12,X,1630,5033,0.34,0.64,right,1.0,0.8,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-68,-21,-39,-39,False,combined,18,25,32,15,0,1.0,0.8,0.64,0.375,0.64,0.380952380952,0,1,0.375,0.64,-39.0,-21.0,,0.380952380952,0.8
13,77686,A27BPRHBM28XZS,13,3/10/17 8:45,1.48914e+12,X,1808,5033,0.24,0.08,left,0.1,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-68,-3,-12,-3,False,combined,1,4,4,46,0,0.1,1.0,0.8,0.92,0.714285714286,0.92,1,0,0.8,0.92,-3.0,-12.0,,0.714285714286,0.1
14,77688,A27BPRHBM28XZS,14,3/10/17 8:45,1.48914e+12,O,2785,5033,0.12,0.62,right,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-68,-7,-20,0,False,combined,6,31,44,19,0,1.0,1.0,0.88,0.38,0.88,0.38,0,0,,,,,,,1.0
15,77689,A27BPRHBM28XZS,15,3/10/17 8:46,1.48914e+12,X,1869,5033,0.04,0.4,left,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,16,8,16,False,combined,2,20,48,30,0,1.0,1.0,0.96,0.6,0.96,0.6,0,0,,,,,,,1.0
16,77690,A27BPRHBM28XZS,16,3/10/17 8:46,1.48914e+12,X,1772,5033,0.64,0.08,right,0.06,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,98,65,65,False,combined,1,4,2,46,0,0.06,1.0,0.666666666667,0.92,0.6,0.92,1,0,0.666666666667,0.92,98.0,65.0,,0.6,0.06
17,77691,A27BPRHBM28XZS,17,3/10/17 8:46,1.48914e+12,X,1572,5033,0.24,0.32,left,1.0,0.02,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,88,74,88,False,combined,12,1,38,0,0,1.0,0.02,0.76,0.0,0.76,0.333333333333,0,1,0.0,0.76,74.0,88.0,,0.333333333333,0.02
18,77692,A27BPRHBM28XZS,18,3/10/17 8:46,1.48914e+12,X,2996,5033,0.04,0.68,left,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,15,53,15,False,combined,3,33,47,17,0,1.0,1.0,0.94,0.34,0.94,0.34,0,0,,,,,,,1.0
19,77693,A27BPRHBM28XZS,19,3/10/17 8:46,1.48914e+12,X,2228,5033,0.34,0.3,right,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,22,23,23,False,combined,17,15,33,35,0,1.0,1.0,0.66,0.7,0.66,0.7,0,0,,,,,,,1.0
20,77694,A27BPRHBM28XZS,20,3/10/17 8:46,1.48914e+12,O,1590,5098,0.76,0.28,right,0.2,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,65,21,7,0,False,combined,8,13,2,37,0,0.2,1.0,0.2,0.74,0.25,0.74,1,0,0.2,0.74,21.0,7.0,,0.25,0.2
21,77695,A27BPRHBM28XZS,21,3/10/17 8:46,1.48914e+12,X,1728,5098,0.52,0.6,left,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,65,63,13,63,False,combined,25,30,25,20,0,1.0,1.0,0.5,0.4,0.5,0.4,0,0,,,,,,,1.0
22,77696,A27BPRHBM28XZS,22,3/10/17 8:46,1.48914e+12,X,2168,5098,0.72,0.34,left,1.0,0.06,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,65,76,38,76,False,combined,36,1,14,2,0,1.0,0.06,0.28,0.666666666667,0.28,0.6,0,1,0.666666666667,0.28,38.0,76.0,,0.6,0.06
23,77698,A27BPRHBM28XZS,23,3/10/17 8:47,1.48914e+12,X,1500,5098,0.34,0.06,right,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,65,15,5,5,False,combined,18,2,32,48,0,1.0,1.0,0.64,0.96,0.64,0.96,0,0,,,,,,,1.0
24,77699,A27BPRHBM28XZS,24,3/10/17 8:47,1.48914e+12,O,2035,5098,0.56,0.56,left,0.02,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,65,11,14,0,False,combined,0,27,1,23,0,0.02,1.0,1.0,0.46,0.666666666667,0.46,1,0,1.0,0.46,11.0,14.0,,0.666666666667,0.02
25,77701,A27BPRHBM28XZS,25,3/10/17 8:47,1.48914e+12,O,1622,5161,0.56,0.48,left,1.0,0.8,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,63,68,29,0,False,combined,27,16,23,24,0,1.0,0.8,0.46,0.6,0.46,0.595238095238,0,1,0.6,0.46,29.0,68.0,,0.595238095238,0.8
26,77703,A27BPRHBM28XZS,26,3/10/17 8:47,1.48914e+12,X,2174,5161,0.36,0.48,right,0.4,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,63,94,115,115,False,combined,12,25,8,25,0,0.4,1.0,0.4,0.5,0.409090909091,0.5,1,0,0.4,0.5,94.0,115.0,,0.409090909091,0.4
27,77705,A27BPRHBM28XZS,27,3/10/17 8:47,1.48914e+12,X,2604,5161,0.74,0.8,right,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,63,62,134,134,False,combined,36,40,14,10,0,1.0,1.0,0.28,0.2,0.28,0.2,0,0,,,,,,,1.0
28,77706,A27BPRHBM28XZS,28,3/10/17 8:47,1.48914e+12,X,1652,5161,0.78,0.32,right,0.06,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,63,27,7,7,False,combined,2,17,1,33,0,0.06,1.0,0.333333333333,0.66,0.4,0.66,1,0,0.333333333333,0.66,27.0,7.0,,0.4,0.06
29,77708,A27BPRHBM28XZS,29,3/10/17 8:47,1.48914e+12,X,3703,5161,0.24,0.12,right,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,63,39,34,34,False,combined,13,6,37,44,0,1.0,1.0,0.74,0.88,0.74,0.88,0,0,,,,,,,1.0
30,77709,A27BPRHBM28XZS,30,3/10/17 8:48,1.48914e+12,O,2151,5276,0.4,0.66,right,0.4,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,115,-54,-74,0,False,combined,5,31,15,19,0,0.4,1.0,0.75,0.38,0.727272727273,0.38,1,0,0.75,0.38,-54.0,-74.0,,0.727272727273,0.4
31,77711,A27BPRHBM28XZS,31,3/10/17 8:48,1.48914e+12,O,3215,5276,0.36,0.6,right,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,115,-93,-127,0,False,combined,19,30,31,20,0,1.0,1.0,0.62,0.4,0.62,0.4,0,0,,,,,,,1.0
32,77712,A27BPRHBM28XZS,32,3/10/17 8:48,1.48914e+12,X,2439,5276,0.64,0.34,left,0.02,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,115,-39,-21,-39,False,combined,1,16,0,34,0,0.02,1.0,0.0,0.68,0.333333333333,0.68,1,0,0.0,0.68,-39.0,-21.0,,0.333333333333,0.02
33,77714,A27BPRHBM28XZS,33,3/10/17 8:48,1.48914e+12,X,1965,5276,0.52,0.38,left,0.2,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,115,-9,-13,-9,False,combined,5,20,5,30,0,0.2,1.0,0.5,0.6,0.5,0.6,1,0,0.5,0.6,-9.0,-13.0,,0.5,0.2
34,77715,A27BPRHBM28XZS,34,3/10/17 8:48,1.48914e+12,O,1693,5276,0.96,0.52,left,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,115,-125,-63,0,False,combined,48,25,2,25,0,1.0,1.0,0.04,0.5,0.04,0.5,0,0,,,,,,,1.0
35,77717,A27BPRHBM28XZS,35,3/10/17 8:48,1.48914e+12,O,2525,5276,0.64,0.72,left,1.0,0.06,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,74,84,0,False,combined,32,2,18,1,0,1.0,0.06,0.36,0.333333333333,0.36,0.4,0,1,0.333333333333,0.36,84.0,74.0,,0.4,0.06
36,77719,A27BPRHBM28XZS,36,3/10/17 8:48,1.48914e+12,X,1242,5276,0.56,0.48,left,1.0,0.2,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,68,29,68,False,combined,26,8,24,2,0,1.0,0.2,0.48,0.2,0.48,0.25,0,1,0.2,0.48,29.0,68.0,,0.25,0.2
37,77720,A27BPRHBM28XZS,37,3/10/17 8:49,1.48914e+12,X,1558,5276,0.28,0.76,left,1.0,0.4,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,7,21,7,False,combined,13,13,37,7,0,1.0,0.4,0.74,0.35,0.74,0.363636363636,0,1,0.35,0.74,21.0,7.0,,0.363636363636,0.4
38,77722,A27BPRHBM28XZS,38,3/10/17 8:49,1.48914e+12,X,2388,5276,0.12,0.4,left,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,17,50,17,False,combined,6,21,44,29,0,1.0,1.0,0.88,0.58,0.88,0.58,0,0,,,,,,,1.0
39,77723,A27BPRHBM28XZS,39,3/10/17 8:49,1.48914e+12,X,1159,5276,0.56,0.48,left,1.0,0.02,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,68,29,68,False,combined,26,0,24,1,0,1.0,0.02,0.48,1.0,0.48,0.666666666667,0,1,1.0,0.48,29.0,68.0,,0.666666666667,0.02
40,77725,A27BPRHBM28XZS,40,3/10/17 8:49,1.48914e+12,X,1777,5276,0.64,0.44,right,0.1,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,74,107,107,False,combined,3,22,2,28,0,0.1,1.0,0.4,0.56,0.428571428571,0.56,1,0,0.4,0.56,74.0,107.0,,0.428571428571,0.1
41,77726,A27BPRHBM28XZS,41,3/10/17 8:49,1.48914e+12,X,1148,5276,0.08,0.32,left,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,33,7,33,False,combined,3,17,47,33,0,1.0,1.0,0.94,0.66,0.94,0.66,0,0,,,,,,,1.0
42,77728,A27BPRHBM28XZS,42,3/10/17 8:49,1.48914e+12,X,1576,5276,0.38,0.52,left,1.0,0.8,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,13,9,13,False,combined,18,22,32,18,0,1.0,0.8,0.64,0.45,0.64,0.452380952381,0,1,0.45,0.64,9.0,13.0,,0.452380952381,0.8
43,77729,A27BPRHBM28XZS,43,3/10/17 8:49,1.48914e+12,X,2894,5276,0.62,0.64,right,1.0,0.06,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,40,51,51,False,combined,31,2,19,1,0,1.0,0.06,0.38,0.333333333333,0.38,0.4,0,1,0.333333333333,0.38,51.0,40.0,,0.4,0.06
44,77731,A27BPRHBM28XZS,44,3/10/17 8:49,1.48914e+12,O,2230,5276,0.36,0.62,right,0.8,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,38,81,0,False,combined,15,32,25,18,0,0.8,1.0,0.625,0.36,0.619047619048,0.36,1,0,0.625,0.36,38.0,81.0,,0.619047619048,0.8
45,77733,A27BPRHBM28XZS,45,3/10/17 8:50,1.48914e+12,O,1797,5276,0.64,0.44,left,0.1,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-74,-107,0,False,combined,3,22,2,28,0,0.1,1.0,0.4,0.56,0.428571428571,0.56,1,0,0.4,0.56,-74.0,-107.0,,0.428571428571,0.1
46,77734,A27BPRHBM28XZS,46,3/10/17 8:50,1.48914e+12,X,1337,5276,0.08,0.32,right,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-33,-7,-7,False,combined,3,17,47,33,0,1.0,1.0,0.94,0.66,0.94,0.66,0,0,,,,,,,1.0
47,77736,A27BPRHBM28XZS,47,3/10/17 8:50,1.48914e+12,X,1437,5276,0.38,0.52,right,1.0,0.8,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-13,-9,-9,False,combined,18,22,32,18,0,1.0,0.8,0.64,0.45,0.64,0.452380952381,0,1,0.45,0.64,-9.0,-13.0,,0.452380952381,0.8
48,77737,A27BPRHBM28XZS,48,3/10/17 8:50,1.48914e+12,O,2294,5276,0.62,0.64,left,1.0,0.06,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-40,-51,0,False,combined,31,2,19,1,0,1.0,0.06,0.38,0.333333333333,0.38,0.4,0,1,0.333333333333,0.38,-51.0,-40.0,,0.4,0.06
49,77738,A27BPRHBM28XZS,49,3/10/17 8:50,1.48914e+12,X,3121,5276,0.36,0.62,left,0.8,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-38,-81,-38,False,combined,15,32,25,18,0,0.8,1.0,0.625,0.36,0.619047619048,0.36,1,0,0.625,0.36,-38.0,-81.0,,0.619047619048,0.8
50,77789,A27BPRHBM28XZS,50,3/10/17 9:02,1.48914e+12,X,2771,5276,0.52,0.38,left,0.8,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-9,-13,-9,False,combined,20,20,20,30,0,0.8,1.0,0.5,0.6,0.5,0.6,1,0,0.5,0.6,-9.0,-13.0,,0.5,0.8
51,77791,A27BPRHBM28XZS,51,3/10/17 9:02,1.48914e+12,O,1733,5276,0.12,0.84,right,0.2,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-34,-94,0,False,combined,3,41,7,9,0,0.2,1.0,0.7,0.18,0.666666666667,0.18,1,0,0.7,0.18,-34.0,-94.0,,0.666666666667,0.2
52,77792,A27BPRHBM28XZS,52,3/10/17 9:03,1.48914e+12,X,3022,5276,0.26,0.62,right,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-28,-40,-40,False,combined,13,31,37,19,0,1.0,1.0,0.74,0.38,0.74,0.38,0,0,,,,,,,1.0
53,77794,A27BPRHBM28XZS,53,3/10/17 9:03,1.48914e+12,X,3041,5276,0.72,0.32,left,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-62,-22,-62,False,combined,37,15,13,35,0,1.0,1.0,0.26,0.7,0.26,0.7,0,0,,,,,,,1.0
54,77795,A27BPRHBM28XZS,54,3/10/17 9:03,1.48914e+12,O,946,5276,0.8,0.62,right,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-118,-32,0,False,combined,39,31,11,19,0,1.0,1.0,0.22,0.38,0.22,0.38,0,0,,,,,,,1.0
55,77797,A27BPRHBM28XZS,55,3/10/17 9:03,1.48914e+12,X,1158,5276,0.48,0.08,right,1.0,0.4,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-115,-5,-5,False,combined,23,4,27,16,0,1.0,0.4,0.54,0.8,0.54,0.772727272727,0,1,0.8,0.54,-5.0,-115.0,,0.772727272727,0.4
56,77799,A27BPRHBM28XZS,56,3/10/17 9:03,1.48914e+12,O,4303,5276,0.24,0.44,right,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-77,-118,0,False,combined,12,23,38,27,0,1.0,1.0,0.76,0.54,0.76,0.54,0,0,,,,,,,1.0
57,77801,A27BPRHBM28XZS,57,3/10/17 9:03,1.48914e+12,X,3019,5276,0.14,0.08,right,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-29,-25,-25,False,combined,6,4,44,46,0,1.0,1.0,0.88,0.92,0.88,0.92,0,0,,,,,,,1.0
