,trial_number,ml,mr,pr,pl,rr,rl,revealed_o_l,revealed_x_l,revealed_o_r,revealed_x_r,mag_left,mag_right,info_amb,info_l,info_r,prob_out_l,prob_out_r,prob_out_l_bayes,prob_out_r_bayes,ambig_l,ambig_r,prob_out_ambig,prob_out_unambig,mag_ambig,mag_unambig,resp_amb_1,prob_out_ambig_bayes
0,0,36.0,21.0,0.24,0.84,1.0,1.0,9.0,41.0,37.0,13.0,36.0,21.0,1.0,1.0,1.0,0.82,0.26,0.82,0.26,0.0,0.0,,,,,,
1,1,78.0,101.0,0.64,0.76,1.0,1.0,13.0,37.0,17.0,33.0,78.0,101.0,1.0,1.0,1.0,0.74,0.66,0.74,0.66,0.0,0.0,,,,,,
2,2,21.0,68.0,0.36,0.66,0.8,1.0,18.0,32.0,25.0,15.0,21.0,68.0,0.8,1.0,0.8,0.64,0.375,0.64,0.38095238095238093,0.0,1.0,0.375,0.64,68.0,21.0,,0.38095238095238093
3,3,8.0,12.0,0.92,0.76,1.0,0.1,1.0,4.0,4.0,46.0,8.0,12.0,0.1,0.1,1.0,0.8,0.92,0.7142857142857143,0.92,1.0,0.0,0.8,0.92,8.0,12.0,,0.7142857142857143
4,4,7.0,20.0,0.38,0.88,1.0,1.0,6.0,44.0,31.0,19.0,7.0,20.0,1.0,1.0,1.0,0.88,0.38,0.88,0.38,0.0,0.0,,,,,,
5,5,-29.0,-48.0,0.36,0.32,1.0,1.0,33.0,17.0,32.0,18.0,-29.0,-48.0,1.0,1.0,1.0,0.34,0.36,0.34,0.36,0.0,0.0,,,,,,
6,6,-39.0,-42.0,0.5,0.3,1.0,0.8,25.0,15.0,25.0,25.0,-39.0,-42.0,0.8,0.8,1.0,0.375,0.5,0.38095238095238093,0.5,1.0,0.0,0.375,0.5,-39.0,-42.0,,0.38095238095238093
7,7,-9.0,-13.0,0.62,0.48,1.0,0.2,5.0,5.0,20.0,30.0,-9.0,-13.0,0.2,0.2,1.0,0.5,0.6,0.5,0.6,1.0,0.0,0.5,0.6,-9.0,-13.0,,0.5
8,8,-63.0,-60.0,0.52,0.96,0.8,1.0,3.0,47.0,19.0,21.0,-63.0,-60.0,0.8,1.0,0.8,0.94,0.525,0.94,0.5238095238095238,0.0,1.0,0.525,0.94,-60.0,-63.0,,0.5238095238095238
9,9,-72.0,-89.0,0.8,0.96,1.0,0.1,0.0,5.0,10.0,40.0,-72.0,-89.0,0.1,0.1,1.0,1.0,0.8,0.8571428571428571,0.8,1.0,0.0,1.0,0.8,-72.0,-89.0,,0.8571428571428571
10,10,-9.0,-22.0,0.68,0.56,1.0,1.0,22.0,28.0,16.0,34.0,-9.0,-22.0,1.0,1.0,1.0,0.56,0.68,0.56,0.68,0.0,0.0,,,,,,
11,11,-144.0,-114.0,0.48,0.44,1.0,1.0,28.0,22.0,26.0,24.0,-144.0,-114.0,1.0,1.0,1.0,0.44,0.48,0.44,0.48,0.0,0.0,,,,,,
12,12,-15.0,-17.0,0.58,0.58,1.0,1.0,21.0,29.0,21.0,29.0,-15.0,-17.0,1.0,1.0,1.0,0.58,0.58,0.58,0.58,0.0,0.0,,,,,,
13,13,-37.0,-115.0,0.32,0.82,1.0,1.0,10.0,40.0,33.0,17.0,-37.0,-115.0,1.0,1.0,1.0,0.8,0.34,0.8,0.34,0.0,0.0,,,,,,
14,14,-42.0,-71.0,0.84,0.72,0.06,1.0,14.0,36.0,0.0,3.0,-42.0,-71.0,0.06,1.0,0.06,0.72,1.0,0.72,0.8,0.0,1.0,1.0,0.72,-71.0,-42.0,,0.8
15,15,16.0,8.0,0.6,0.96,1.0,1.0,2.0,48.0,20.0,30.0,16.0,8.0,1.0,1.0,1.0,0.96,0.6,0.96,0.6,0.0,0.0,,,,,,
16,16,98.0,90.0,0.92,0.36,1.0,0.06,1.0,2.0,4.0,46.0,98.0,90.0,0.06,0.06,1.0,0.6666666666666666,0.92,0.6,0.92,1.0,0.0,0.6666666666666666,0.92,98.0,90.0,,0.6
17,17,88.0,80.0,0.68,0.76,0.02,1.0,12.0,38.0,1.0,0.0,88.0,80.0,0.02,1.0,0.02,0.76,0.0,0.76,0.3333333333333333,0.0,1.0,0.0,0.76,80.0,88.0,,0.3333333333333333
18,18,15.0,53.0,0.32,0.96,1.0,1.0,3.0,47.0,33.0,17.0,15.0,53.0,1.0,1.0,1.0,0.94,0.34,0.94,0.34,0.0,0.0,,,,,,
19,19,22.0,23.0,0.7,0.66,1.0,1.0,17.0,33.0,15.0,35.0,22.0,23.0,1.0,1.0,1.0,0.66,0.7,0.66,0.7,0.0,0.0,,,,,,
20,20,40.0,7.0,0.72,0.24,1.0,0.2,8.0,2.0,13.0,37.0,40.0,7.0,0.2,0.2,1.0,0.2,0.74,0.25,0.74,1.0,0.0,0.2,0.74,40.0,7.0,,0.25
21,21,63.0,13.0,0.4,0.48,1.0,1.0,25.0,25.0,30.0,20.0,63.0,13.0,1.0,1.0,1.0,0.5,0.4,0.5,0.4,0.0,0.0,,,,,,
22,22,88.0,38.0,0.66,0.28,0.06,1.0,36.0,14.0,1.0,2.0,88.0,38.0,0.06,1.0,0.06,0.28,0.6666666666666666,0.28,0.6,0.0,1.0,0.6666666666666666,0.28,38.0,88.0,,0.6
23,23,15.0,5.0,0.94,0.66,1.0,1.0,18.0,32.0,2.0,48.0,15.0,5.0,1.0,1.0,1.0,0.64,0.96,0.64,0.96,0.0,0.0,,,,,,
24,24,11.0,14.0,0.44,0.44,1.0,0.02,0.0,1.0,27.0,23.0,11.0,14.0,0.02,0.02,1.0,1.0,0.46,0.6666666666666666,0.46,1.0,0.0,1.0,0.46,11.0,14.0,,0.6666666666666666
25,25,68.0,45.0,0.6,0.44,0.8,1.0,27.0,23.0,20.0,30.0,68.0,45.0,1.0,1.0,1.0,0.46,0.6,0.46,0.6,0.0,0.0,,,,,,
26,26,94.0,100.0,0.52,0.64,1.0,0.4,12.0,8.0,25.0,25.0,94.0,100.0,0.4,0.4,1.0,0.4,0.5,0.4090909090909091,0.5,1.0,0.0,0.4,0.5,94.0,100.0,,0.4090909090909091
27,27,62.0,134.0,0.2,0.26,1.0,1.0,36.0,14.0,40.0,10.0,62.0,134.0,1.0,1.0,1.0,0.28,0.2,0.28,0.2,0.0,0.0,,,,,,
28,28,27.0,15.0,0.6,0.22,1.0,0.06,1.0,2.0,20.0,30.0,27.0,15.0,0.06,0.06,1.0,0.6666666666666666,0.6,0.6,0.6,1.0,0.0,0.6666666666666666,0.6,27.0,15.0,,0.6
29,29,39.0,34.0,0.88,0.76,1.0,1.0,13.0,37.0,6.0,44.0,39.0,34.0,1.0,1.0,1.0,0.74,0.88,0.74,0.88,0.0,0.0,,,,,,
30,30,-84.0,-95.0,0.68,0.76,0.2,1.0,12.0,38.0,5.0,5.0,-84.0,-95.0,0.2,1.0,0.2,0.76,0.5,0.76,0.5,0.0,1.0,0.5,0.76,-95.0,-84.0,,0.5
31,31,-54.0,-74.0,0.34,0.6,1.0,0.2,5.0,5.0,31.0,19.0,-54.0,-74.0,0.2,0.2,1.0,0.5,0.38,0.5,0.38,1.0,0.0,0.5,0.38,-54.0,-74.0,,0.5
32,32,-130.0,-68.0,0.42,0.22,1.0,1.0,38.0,12.0,28.0,22.0,-130.0,-68.0,1.0,1.0,1.0,0.24,0.44,0.24,0.44,0.0,0.0,,,,,,
33,33,-97.0,-86.0,0.68,0.64,1.0,1.0,18.0,32.0,16.0,34.0,-97.0,-86.0,1.0,1.0,1.0,0.64,0.68,0.64,0.68,0.0,0.0,,,,,,
34,34,-74.0,-78.0,0.76,0.92,1.0,0.4,1.0,19.0,12.0,38.0,-74.0,-78.0,0.4,0.4,1.0,0.95,0.76,0.9090909090909091,0.76,1.0,0.0,0.95,0.76,-74.0,-78.0,,0.9090909090909091
35,35,100.0,84.0,0.28,0.36,0.06,1.0,32.0,18.0,2.0,1.0,100.0,84.0,0.06,1.0,0.06,0.36,0.3333333333333333,0.36,0.4,0.0,1.0,0.3333333333333333,0.36,84.0,100.0,,0.4
36,36,68.0,40.0,0.52,0.44,0.2,1.0,26.0,24.0,8.0,2.0,68.0,40.0,0.2,1.0,0.2,0.48,0.2,0.48,0.25,0.0,1.0,0.2,0.48,40.0,68.0,,0.25
37,37,7.0,21.0,0.24,0.6,0.4,1.0,20.0,30.0,13.0,7.0,7.0,21.0,0.4,1.0,0.4,0.6,0.35,0.6,0.36363636363636365,0.0,1.0,0.35,0.6,21.0,7.0,,0.36363636363636365
38,38,17.0,50.0,0.6,0.88,1.0,1.0,6.0,44.0,21.0,29.0,17.0,50.0,1.0,1.0,1.0,0.88,0.58,0.88,0.58,0.0,0.0,,,,,,
39,39,68.0,50.0,0.52,0.44,0.02,1.0,26.0,24.0,0.0,1.0,68.0,50.0,0.02,1.0,0.02,0.48,1.0,0.48,0.6666666666666666,0.0,1.0,1.0,0.48,50.0,68.0,,0.6666666666666666
40,40,74.0,98.0,0.56,0.36,1.0,0.1,3.0,2.0,22.0,28.0,74.0,98.0,0.1,0.1,1.0,0.4,0.56,0.42857142857142855,0.56,1.0,0.0,0.4,0.56,74.0,98.0,,0.42857142857142855
41,41,33.0,7.0,0.68,0.92,1.0,1.0,3.0,47.0,17.0,33.0,33.0,7.0,1.0,1.0,1.0,0.94,0.66,0.94,0.66,0.0,0.0,,,,,,
42,42,13.0,9.0,0.48,0.62,0.8,1.0,18.0,32.0,22.0,18.0,13.0,9.0,0.8,1.0,0.8,0.64,0.45,0.64,0.4523809523809524,0.0,1.0,0.45,0.64,9.0,13.0,,0.4523809523809524
43,43,40.0,51.0,0.36,0.38,0.06,1.0,31.0,19.0,2.0,1.0,40.0,51.0,0.06,1.0,0.06,0.38,0.3333333333333333,0.38,0.4,0.0,1.0,0.3333333333333333,0.38,51.0,40.0,,0.4
44,44,38.0,45.0,0.48,0.5,1.0,0.8,20.0,20.0,26.0,24.0,38.0,45.0,0.8,0.8,1.0,0.5,0.48,0.5,0.48,1.0,0.0,0.5,0.48,38.0,45.0,,0.5
45,45,-16.0,-38.0,0.4,0.74,1.0,1.0,13.0,37.0,30.0,20.0,-16.0,-38.0,1.0,1.0,1.0,0.74,0.4,0.74,0.4,0.0,0.0,,,,,,
46,46,-118.0,-32.0,0.38,0.2,1.0,1.0,39.0,11.0,31.0,19.0,-118.0,-32.0,1.0,1.0,1.0,0.22,0.38,0.22,0.38,0.0,0.0,,,,,,
47,47,-33.0,-7.0,0.68,0.92,1.0,1.0,3.0,47.0,17.0,33.0,-33.0,-7.0,1.0,1.0,1.0,0.94,0.66,0.94,0.66,0.0,0.0,,,,,,
48,48,-115.0,-5.0,0.92,0.52,0.4,1.0,23.0,27.0,3.0,17.0,-115.0,-5.0,0.4,1.0,0.4,0.54,0.85,0.54,0.8181818181818182,0.0,1.0,0.85,0.54,-5.0,-115.0,,0.8181818181818182
49,49,-7.0,-20.0,0.38,0.88,1.0,1.0,6.0,44.0,31.0,19.0,-7.0,-20.0,1.0,1.0,1.0,0.88,0.38,0.88,0.38,0.0,0.0,,,,,,
50,50,-97.0,-70.0,0.92,0.64,0.02,1.0,19.0,31.0,0.0,1.0,-97.0,-70.0,0.02,1.0,0.02,0.62,1.0,0.62,0.6666666666666666,0.0,1.0,1.0,0.62,-70.0,-97.0,,0.6666666666666666
51,51,-138.0,-106.0,0.6,0.48,1.0,1.0,25.0,25.0,21.0,29.0,-138.0,-106.0,1.0,1.0,1.0,0.5,0.58,0.5,0.58,0.0,0.0,,,,,,
52,52,-9.0,-18.0,0.68,0.96,1.0,0.4,0.0,20.0,17.0,33.0,-9.0,-18.0,0.4,0.4,1.0,1.0,0.66,0.9545454545454546,0.66,1.0,0.0,1.0,0.66,-9.0,-18.0,,0.9545454545454546
53,53,-38.0,-42.0,0.72,0.8,1.0,1.0,10.0,40.0,14.0,36.0,-38.0,-42.0,1.0,1.0,1.0,0.8,0.72,0.8,0.72,0.0,0.0,,,,,,
54,54,-25.0,-55.0,0.28,0.52,1.0,1.0,24.0,26.0,36.0,14.0,-25.0,-55.0,1.0,1.0,1.0,0.52,0.28,0.52,0.28,0.0,0.0,,,,,,
55,55,-74.0,-60.0,0.88,0.84,1.0,1.0,8.0,42.0,7.0,43.0,-74.0,-60.0,1.0,1.0,1.0,0.84,0.86,0.84,0.86,0.0,0.0,,,,,,
56,56,-11.0,-8.0,0.64,0.44,0.06,1.0,27.0,23.0,1.0,2.0,-11.0,-8.0,0.06,1.0,0.06,0.46,0.6666666666666666,0.46,0.6,0.0,1.0,0.6666666666666666,0.46,-8.0,-11.0,,0.6
57,57,-27.0,-15.0,0.6,0.22,1.0,0.06,1.0,2.0,20.0,30.0,-27.0,-15.0,0.06,0.06,1.0,0.6666666666666666,0.6,0.6,0.6,1.0,0.0,0.6666666666666666,0.6,-27.0,-15.0,,0.6
58,58,-40.0,-7.0,0.72,0.24,1.0,0.2,8.0,2.0,13.0,37.0,-40.0,-7.0,0.2,0.2,1.0,0.2,0.74,0.25,0.74,1.0,0.0,0.2,0.74,-40.0,-7.0,,0.25
59,59,-96.0,-86.0,0.8,0.76,1.0,1.0,12.0,38.0,10.0,40.0,-96.0,-86.0,1.0,1.0,1.0,0.76,0.8,0.76,0.8,0.0,0.0,,,,,,
60,60,60.0,81.0,0.38,0.64,1.0,0.2,3.0,7.0,31.0,19.0,60.0,81.0,0.2,0.2,1.0,0.7,0.38,0.6666666666666666,0.38,1.0,0.0,0.7,0.38,60.0,81.0,,0.6666666666666666
61,61,4.0,11.0,0.22,0.68,1.0,0.4,5.0,15.0,39.0,11.0,4.0,11.0,0.4,0.4,1.0,0.75,0.22,0.7272727272727273,0.22,1.0,0.0,0.75,0.22,4.0,11.0,,0.7272727272727273
62,62,80.0,97.0,0.64,0.92,1.0,0.2,1.0,9.0,18.0,32.0,80.0,97.0,0.2,0.2,1.0,0.9,0.64,0.8333333333333334,0.64,1.0,0.0,0.9,0.64,80.0,97.0,,0.8333333333333334
63,63,33.0,20.0,0.56,0.1,0.1,1.0,46.0,4.0,1.0,4.0,33.0,20.0,0.1,1.0,0.1,0.08,0.8,0.08,0.7142857142857143,0.0,1.0,0.8,0.08,20.0,33.0,,0.7142857142857143
64,64,19.0,48.0,0.68,0.8,1.0,1.0,10.0,40.0,16.0,34.0,19.0,48.0,1.0,1.0,1.0,0.8,0.68,0.8,0.68,0.0,0.0,,,,,,
65,65,48.0,51.0,0.74,0.62,0.4,1.0,20.0,30.0,5.0,15.0,48.0,51.0,0.4,1.0,0.4,0.6,0.75,0.6,0.7272727272727273,0.0,1.0,0.75,0.6,51.0,48.0,,0.7272727272727273
66,66,39.0,42.0,0.5,0.3,1.0,0.8,25.0,15.0,25.0,25.0,39.0,42.0,0.8,0.8,1.0,0.375,0.5,0.38095238095238093,0.5,1.0,0.0,0.375,0.5,39.0,42.0,,0.38095238095238093
67,67,39.0,42.0,0.44,0.32,1.0,1.0,34.0,16.0,27.0,23.0,39.0,42.0,1.0,1.0,1.0,0.32,0.46,0.32,0.46,0.0,0.0,,,,,,
68,68,42.0,61.0,0.52,0.76,1.0,1.0,12.0,38.0,25.0,25.0,42.0,61.0,1.0,1.0,1.0,0.76,0.5,0.76,0.5,0.0,0.0,,,,,,
69,69,37.0,115.0,0.32,0.82,1.0,1.0,10.0,40.0,33.0,17.0,37.0,115.0,1.0,1.0,1.0,0.8,0.34,0.8,0.34,0.0,0.0,,,,,,
70,70,-11.0,-14.0,0.44,0.44,1.0,0.02,0.0,1.0,27.0,23.0,-11.0,-14.0,0.02,0.02,1.0,1.0,0.46,0.6666666666666666,0.46,1.0,0.0,1.0,0.46,-11.0,-14.0,,0.6666666666666666
71,71,-77.0,-118.0,0.56,0.76,1.0,1.0,12.0,38.0,23.0,27.0,-77.0,-118.0,1.0,1.0,1.0,0.76,0.54,0.76,0.54,0.0,0.0,,,,,,
72,72,-8.0,-9.0,0.48,0.26,1.0,1.0,37.0,13.0,25.0,25.0,-8.0,-9.0,1.0,1.0,1.0,0.26,0.5,0.26,0.5,0.0,0.0,,,,,,
73,73,-7.0,-14.0,0.42,0.84,1.0,1.0,9.0,41.0,27.0,23.0,-7.0,-14.0,1.0,1.0,1.0,0.82,0.46,0.82,0.46,0.0,0.0,,,,,,
74,74,-13.0,-9.0,0.48,0.62,0.8,1.0,18.0,32.0,22.0,18.0,-13.0,-9.0,0.8,1.0,0.8,0.64,0.45,0.64,0.4523809523809524,0.0,1.0,0.45,0.64,-9.0,-13.0,,0.4523809523809524
75,75,106.0,44.0,0.62,0.28,1.0,1.0,36.0,14.0,18.0,32.0,106.0,44.0,1.0,1.0,1.0,0.28,0.64,0.28,0.64,0.0,0.0,,,,,,
76,76,11.0,19.0,0.5,0.5,1.0,1.0,24.0,26.0,26.0,24.0,11.0,19.0,1.0,1.0,1.0,0.52,0.48,0.52,0.48,0.0,0.0,,,,,,
77,77,125.0,80.0,0.56,0.48,0.02,1.0,27.0,23.0,0.0,1.0,125.0,80.0,0.02,1.0,0.02,0.46,1.0,0.46,0.6666666666666666,0.0,1.0,1.0,0.46,80.0,125.0,,0.6666666666666666
78,78,16.0,38.0,0.4,0.74,1.0,1.0,13.0,37.0,30.0,20.0,16.0,38.0,1.0,1.0,1.0,0.74,0.4,0.74,0.4,0.0,0.0,,,,,,
79,79,97.0,70.0,0.92,0.64,0.02,1.0,19.0,31.0,0.0,1.0,97.0,70.0,0.02,1.0,0.02,0.62,1.0,0.62,0.6666666666666666,0.0,1.0,1.0,0.62,70.0,97.0,,0.6666666666666666
80,80,-5.0,-25.0,0.6,0.96,1.0,1.0,3.0,47.0,20.0,30.0,-5.0,-25.0,1.0,1.0,1.0,0.94,0.6,0.94,0.6,0.0,0.0,,,,,,
81,81,-11.0,-8.0,0.68,0.22,0.2,1.0,39.0,11.0,2.0,8.0,-11.0,-8.0,0.2,1.0,0.2,0.22,0.8,0.22,0.75,0.0,1.0,0.8,0.22,-8.0,-11.0,,0.75
82,82,-68.0,-50.0,0.52,0.44,0.02,1.0,26.0,24.0,0.0,1.0,-68.0,-50.0,0.02,1.0,0.02,0.48,1.0,0.48,0.6666666666666666,0.0,1.0,1.0,0.48,-50.0,-68.0,,0.6666666666666666
83,83,-48.0,-51.0,0.74,0.62,0.4,1.0,20.0,30.0,5.0,15.0,-48.0,-51.0,0.4,1.0,0.4,0.6,0.75,0.6,0.7272727272727273,0.0,1.0,0.75,0.6,-51.0,-48.0,,0.7272727272727273
84,84,-74.0,-98.0,0.56,0.36,1.0,0.1,3.0,2.0,22.0,28.0,-74.0,-98.0,0.1,0.1,1.0,0.4,0.56,0.42857142857142855,0.56,1.0,0.0,0.4,0.56,-74.0,-98.0,,0.42857142857142855
85,85,72.0,60.0,0.6,0.36,1.0,1.0,31.0,19.0,20.0,30.0,72.0,60.0,1.0,1.0,1.0,0.38,0.6,0.38,0.6,0.0,0.0,,,,,,
86,86,30.0,29.0,0.94,0.88,1.0,1.0,6.0,44.0,4.0,46.0,30.0,29.0,1.0,1.0,1.0,0.88,0.92,0.88,0.92,0.0,0.0,,,,,,
87,87,18.0,47.0,0.32,0.84,1.0,1.0,8.0,42.0,33.0,17.0,18.0,47.0,1.0,1.0,1.0,0.84,0.34,0.84,0.34,0.0,0.0,,,,,,
88,88,94.0,75.0,0.88,0.3,0.8,1.0,41.0,9.0,15.0,25.0,94.0,75.0,0.8,1.0,0.8,0.18,0.625,0.18,0.6190476190476191,0.0,1.0,0.625,0.18,75.0,94.0,,0.6190476190476191
89,89,116.0,42.0,0.94,0.24,1.0,1.0,37.0,13.0,4.0,46.0,116.0,42.0,1.0,1.0,1.0,0.26,0.92,0.26,0.92,0.0,0.0,,,,,,
90,90,25.0,16.0,0.9,0.44,0.06,1.0,26.0,24.0,1.0,2.0,25.0,16.0,0.06,1.0,0.06,0.48,0.6666666666666666,0.48,0.6,0.0,1.0,0.6666666666666666,0.48,16.0,25.0,,0.6
91,91,31.0,75.0,0.4,0.16,1.0,1.0,42.0,8.0,30.0,20.0,31.0,75.0,1.0,1.0,1.0,0.16,0.4,0.16,0.4,0.0,0.0,,,,,,
92,92,74.0,60.0,0.88,0.84,1.0,1.0,8.0,42.0,7.0,43.0,74.0,60.0,1.0,1.0,1.0,0.84,0.86,0.84,0.86,0.0,0.0,,,,,,
93,93,98.0,80.0,0.92,0.64,0.1,1.0,18.0,32.0,0.0,5.0,98.0,80.0,0.1,1.0,0.1,0.64,1.0,0.64,0.8571428571428571,0.0,1.0,1.0,0.64,80.0,98.0,,0.8571428571428571
94,94,25.0,55.0,0.28,0.52,1.0,1.0,24.0,26.0,36.0,14.0,25.0,55.0,1.0,1.0,1.0,0.52,0.28,0.52,0.28,0.0,0.0,,,,,,
95,95,-50.0,-81.0,0.38,0.64,1.0,0.02,1.0,0.0,31.0,19.0,-50.0,-81.0,0.02,0.02,1.0,0.0,0.38,0.3333333333333333,0.38,1.0,0.0,0.0,0.38,-50.0,-81.0,,0.3333333333333333
96,96,-114.0,-78.0,0.88,0.56,1.0,1.0,22.0,28.0,6.0,44.0,-114.0,-78.0,1.0,1.0,1.0,0.56,0.88,0.56,0.88,0.0,0.0,,,,,,
97,97,-90.0,-60.0,0.44,0.44,0.06,1.0,26.0,24.0,2.0,1.0,-90.0,-60.0,0.06,1.0,0.06,0.48,0.3333333333333333,0.48,0.4,0.0,1.0,0.3333333333333333,0.48,-60.0,-90.0,,0.4
98,98,-80.0,-97.0,0.64,0.92,1.0,0.2,1.0,9.0,18.0,32.0,-80.0,-97.0,0.2,0.2,1.0,0.9,0.64,0.8333333333333334,0.64,1.0,0.0,0.9,0.64,-80.0,-97.0,,0.8333333333333334
